LinkRef,LinkName,GeographyWkt
"200:1251->200:28573","Kildevældsparken (1251) - Thomas Laubs Gade (28573)","LINESTRING (12.56870425097566 55.713741671538138, 12.568640698604312 55.713981903876288, 12.568552695449132 55.714171222261839, 12.568456466349604 55.7143297583363, 12.5689214813886 55.714611520047775, 12.569242140133952 55.714781036990992, 12.569422128987584 55.714875248958847, 12.569636345907268 55.71494832323593, 12.570345591779118 55.715138001143927, 12.57046995283787 55.715170708482781, 12.571395480725513 55.715414060601788, 12.571703323705639 55.715493667261228, 12.571898170505456 55.715544033849632)"
"200:1608->200:1609","Amager Hospital (1608) - Sundby Kirkegård (1609)","LINESTRING (12.619087542284205 55.6538672245687, 12.619050175438714 55.653920947262641, 12.618878486479593 55.654136968149786, 12.618702589271765 55.654317774537326, 12.618450672011909 55.65453993991288, 12.617740762547806 55.655155354024387, 12.617471721604323 55.655388543195826, 12.617419768711141 55.655449423431385, 12.617345545095372 55.655541263815685, 12.617056500574437 55.655986803160175, 12.616756600268332 55.656428525705252, 12.61674162342525 55.656450638249645, 12.616595042436005 55.656671689295067)"
"200:28006->200:30467","Bella Center St. (28006) - Ørestad St., Kay Fiskers Plads (30467)","LINESTRING (12.581993636675742 55.638781818205395, 12.582049718193318 55.638774548652457, 12.582101247380336 55.638767827209747, 12.582838418853751 55.638672274763927, 12.582800314734161 55.6384692735248, 12.582665854363182 55.638119914268316, 12.582652702827163 55.638085590164749, 12.582569746415723 55.637870142543008, 12.582204470757359 55.636929211905205, 12.581892049032172 55.63612467063075, 12.581433628919205 55.634957168148972, 12.581365972141041 55.634785512652485, 12.580702081176408 55.633101225998594, 12.580689280081385 55.633068959607058, 12.580632163290051 55.632923881445926, 12.580129348583485 55.631678363909792, 12.580051414027045 55.631503681098835, 12.580037037019531 55.631471550610343, 12.579892306778817 55.631146676955183, 12.579854754577553 55.631052190584036, 12.579927328913021 55.6310323563971, 12.580058833565687 55.630994705049019, 12.580251066223608 55.630941521703214, 12.58052667588446 55.630868457605395, 12.580652073153042 55.63083530015124, 12.58102621592073 55.6307186225051, 12.581310509379939 55.630634512583029, 12.58148407916031 55.630589335937984, 12.581629525728465 55.630568629658114, 12.582078940402019 55.630524381037056, 12.582097047913962 55.630482489124482, 12.581982716063122 55.630146028741095, 12.581784427223809 55.6295010837233, 12.581100954376431 55.629580565476175)"
"200:5769->200:2770","Nørrebro Bycenter (5769) - Bispebjerg St. (2770)","LINESTRING (12.538251203736444 55.705621612276907, 12.538264569864088 55.7056886619548, 12.538275627644275 55.705744001255276, 12.538277920585836 55.70575526458385, 12.538356424710347 55.706098458987668, 12.538496489466386 55.706636255022175, 12.538637171856688 55.707154431333166, 12.538699866067782 55.707335153094576, 12.538776664925003 55.707490471179938, 12.538932968281216 55.707716597661474, 12.53911430132881 55.707927165642396, 12.539388627774684 55.708167510142836, 12.539669731900187 55.708338422854, 12.539999638104703 55.708040361147354, 12.540443260824469 55.707659800095541, 12.540643112730738 55.707499645336078, 12.540937547099018 55.707263747893279, 12.541332486613983 55.706980619410167, 12.541383925493385 55.706943707309073, 12.541495718360082 55.706868097074604, 12.541530290893871 55.706844706164944)"
"200:1193->200:2666","Sluseholmen (1193) - Artillerivej (2666)","LINESTRING (12.54603628307876 55.64326463887344, 12.546054055878365 55.643256113524821, 12.54639579954584 55.643091747547828, 12.54685789527619 55.642892246803683, 12.547476189746554 55.642632114803, 12.548044879866884 55.642398412597132, 12.548494351773243 55.642217703916813, 12.548785346659447 55.642105873351547, 12.54891316822466 55.642056673935187, 12.549311097950509 55.641903800407952, 12.54996816276674 55.641691177817492, 12.550605381858364 55.64149297381875, 12.551169714224319 55.641353706182372, 12.551265188889854 55.641330078869224, 12.551388900437097 55.64130401473988, 12.55181058042613 55.641215185169713, 12.552097906340025 55.641177095209812, 12.552415827545394 55.641120493912496, 12.552777763837263 55.641058389716726, 12.55339082818303 55.640972818375069, 12.553412848293423 55.640970201740224, 12.553685497360231 55.640936849583319, 12.554198263937057 55.6408883510328, 12.55474364843602 55.640847176655839, 12.555492711848672 55.640806295370595, 12.555982427029472 55.640799910056074, 12.556339461889976 55.640803037782234, 12.556960691987799 55.640825112619694, 12.557651338165398 55.640867558779021, 12.558542023019786 55.640948971932247, 12.559260699277226 55.641004172767182, 12.560181968836766 55.641087922887792, 12.561025572894197 55.641214475753635, 12.561932069939912 55.641333260434479, 12.562702850529364 55.641401853259666, 12.563555685632485 55.641437393418727, 12.563630825770833 55.641440243963828, 12.563975602131448 55.641453596932081, 12.564682872594032 55.641447464129726)"
"200:2770->200:47747","Bispebjerg St. (2770) - Slangerupgade (47747)","LINESTRING (12.541530290893871 55.706844706164944, 12.541742406580475 55.706701193196473, 12.541857601213147 55.706631508798409, 12.541892178655035 55.706610638873052, 12.541899539047002 55.706605750691793, 12.541953408106522 55.706569307665, 12.542236399729321 55.706400635156072, 12.542307101454256 55.7063584008165, 12.54252630347264 55.70623445983442, 12.542544176181428 55.706224322615661, 12.543015119011381 55.705959494370866, 12.54363040253325 55.70560759144162, 12.543763119159063 55.705534521628984, 12.54406737377955 55.705366938773885, 12.544167981794157 55.70531385849646, 12.544521337653149 55.705127591777661, 12.544800543349096 55.704989414212662, 12.544843543589284 55.70496838991761, 12.54516346584639 55.704812130501139, 12.545206925907586 55.704790912949449, 12.545320986457853 55.704735194959135, 12.545803588250571 55.705215877297, 12.545885175081802 55.705297185275839)"
"200:1240->200:1988","Mariendalsvej (1240) - Borups Allé (1988)","LINESTRING (12.53092871333474 55.6914585525434, 12.53112810806771 55.691667486867942, 12.531828635564565 55.6924200562404, 12.532420878672363 55.693057320990171, 12.532952536931875 55.693621068372344, 12.533495232236922 55.694190000364657)"
"200:795->200:42515","Vejlands Allé (795) - Sundbyvester Plads (42515)","LINESTRING (12.615316997572929 55.644216655525021, 12.615182429395027 55.644484985420988, 12.614622896793787 55.6456624422927, 12.61447368170067 55.646010534022778)"
"200:1188->200:1190","Sjælør St. (1188) - Mozarts Plads (1190)","LINESTRING (12.527558330760861 55.651710571901162, 12.527560319652723 55.651701188496766, 12.527565815116951 55.651675673886864, 12.527583423122389 55.651606291098339, 12.52759563205932 55.651558194067427, 12.527614077151158 55.6515016452452, 12.527623426727677 55.651465949063265, 12.52765973396445 55.651390543205792, 12.527755343495711 55.651057078585396, 12.527865161530277 55.650692453459627, 12.527959470277292 55.650311010603438, 12.528026037581824 55.650209646930733, 12.528132893905516 55.650144259097814, 12.528347127971061 55.650022819448175, 12.528495433784485 55.64996567937412, 12.52865244283365 55.649925732381853, 12.528731972137169 55.649911843633916, 12.528805864309051 55.64989892637125, 12.528931558255335 55.649885596688947, 12.529518189780729 55.6498170039805, 12.530653847242517 55.649684310079373, 12.53144472231088 55.649591841423096, 12.531851175661625 55.649544343620221, 12.532259047307457 55.649496713664043, 12.532552837045504 55.649462440900912, 12.532705943930875 55.649444540755226, 12.533279185522311 55.649377484652064, 12.533387604731539 55.649364828138722, 12.533561509304512 55.649335986950007, 12.53369606811313 55.649301086490979, 12.533744107291273 55.649285404774574, 12.533848507376133 55.649251103859548, 12.534114951717989 55.649162071714635)"
"200:10115->200:10116","Kildevældsparken (10115) - Nygårdsvej (10116)","LINESTRING (12.568715481656513 55.713699218505468, 12.568938517019678 55.712856106005667, 12.568961219351218 55.71280644053882, 12.569075196366528 55.712360820711375, 12.569145296805884 55.712118521796469, 12.569281183838552 55.711635484299464)"
