;TimeOfDay;HeadwayTime_L1;LinkTravelTime_L1;HeadwayTime_L2;LinkTravelTime_L2;HeadwayTime_L3;LinkTravelTime_L3;DayType_1;DayType_2;DayType_3;LinkRef_200:10427->200:1183;LinkRef_200:1183->200:2673;LinkRef_200:1188->200:1190;LinkRef_200:1190->200:1192;LinkRef_200:1192->200:1193;LinkRef_200:2673->200:2675;LinkRef_200:2675->200:1188;LinkTravelTime
704;4;694.0;117.0;6926.0;145.0;8187.0;112.0;0;0;1;0;0;0;1;0;0;0;115.0
705;4;689.0;35.0;6915.0;37.0;8207.0;35.0;0;0;1;0;0;0;0;1;0;0;32.0
733;5;888.0;59.0;1647.0;41.0;7910.0;78.0;0;0;1;1;0;0;0;0;0;0;44.0
734;5;922.0;62.0;1672.0;53.0;7936.0;55.0;0;0;1;0;1;0;0;0;0;0;79.0
735;5;938.0;60.0;1655.0;63.0;7926.0;62.0;0;0;1;0;0;0;0;0;1;0;73.0
736;5;957.0;46.0;1648.0;51.0;7927.0;49.0;0;0;1;0;0;0;0;0;0;1;58.0
737;5;992.0;76.0;1693.0;67.0;7950.0;89.0;0;0;1;0;0;1;0;0;0;0;90.0
738;5;980.0;115.0;1674.0;117.0;7906.0;145.0;0;0;1;0;0;0;1;0;0;0;104.0
739;5;1028.0;32.0;1717.0;35.0;7943.0;37.0;0;0;1;0;0;0;0;1;0;0;38.0
767;5;1310.0;44.0;2198.0;59.0;2957.0;41.0;0;0;1;1;0;0;0;0;0;0;49.0
768;5;1275.0;79.0;2197.0;62.0;2947.0;53.0;0;0;1;0;1;0;0;0;0;0;57.0
769;5;1252.0;73.0;2190.0;60.0;2907.0;63.0;0;0;1;0;0;0;0;0;1;0;67.0
770;5;1242.0;58.0;2199.0;46.0;2890.0;51.0;0;0;1;0;0;0;0;0;0;1;45.0
771;5;1238.0;90.0;2230.0;76.0;2931.0;67.0;0;0;1;0;0;1;0;0;0;0;108.0
772;5;1252.0;104.0;2232.0;115.0;2926.0;117.0;0;0;1;0;0;0;1;0;0;0;135.0
773;5;1218.0;38.0;2246.0;32.0;2935.0;35.0;0;0;1;0;0;0;0;1;0;0;40.0
812;5;1150.0;49.0;2460.0;44.0;3348.0;59.0;0;0;1;1;0;0;0;0;0;0;99.0
813;5;1140.0;57.0;2415.0;79.0;3337.0;62.0;0;0;1;0;1;0;0;0;0;0;66.0
814;5;1154.0;67.0;2406.0;73.0;3344.0;60.0;0;0;1;0;0;0;0;0;1;0;81.0
815;5;1142.0;45.0;2384.0;58.0;3341.0;46.0;0;0;1;0;0;0;0;0;0;1;69.0
816;5;1108.0;108.0;2346.0;90.0;3338.0;76.0;0;0;1;0;0;1;0;0;0;0;74.0
817;5;1065.0;135.0;2317.0;104.0;3297.0;115.0;0;0;1;0;0;0;1;0;0;0;92.0
818;5;1077.0;40.0;2295.0;38.0;3323.0;32.0;0;0;1;0;0;0;0;1;0;0;81.0
857;6;1536.0;99.0;2686.0;49.0;3996.0;44.0;0;0;1;1;0;0;0;0;0;0;48.0
858;6;1546.0;66.0;2686.0;57.0;3961.0;79.0;0;0;1;0;1;0;0;0;0;0;49.0
859;6;1524.0;81.0;2678.0;67.0;3930.0;73.0;0;0;1;0;0;0;0;0;1;0;59.0
860;6;1526.0;69.0;2668.0;45.0;3910.0;58.0;0;0;1;0;0;0;0;0;0;1;37.0
861;6;1520.0;74.0;2628.0;108.0;3866.0;90.0;0;0;1;0;0;1;0;0;0;0;68.0
862;6;1592.0;92.0;2657.0;135.0;3909.0;104.0;0;0;1;0;0;0;1;0;0;0;164.0
863;6;1568.0;81.0;2645.0;40.0;3863.0;38.0;0;0;1;0;0;0;0;1;0;0;40.0
902;6;544.0;48.0;2080.0;99.0;3230.0;49.0;0;0;1;1;0;0;0;0;0;0;54.0
903;6;550.0;49.0;2096.0;66.0;3236.0;57.0;0;0;1;0;1;0;0;0;0;0;61.0
904;6;556.0;59.0;2080.0;81.0;3234.0;67.0;0;0;1;0;0;0;0;0;1;0;65.0
905;6;478.0;37.0;2004.0;69.0;3146.0;45.0;0;0;1;0;0;0;0;0;0;1;38.0
907;6;485.0;164.0;2077.0;92.0;3142.0;135.0;0;0;1;0;0;0;1;0;0;0;107.0
908;6;492.0;40.0;2060.0;81.0;3137.0;40.0;0;0;1;0;0;0;0;1;0;0;42.0
947;6;1318.0;54.0;1862.0;48.0;3398.0;99.0;0;0;1;1;0;0;0;0;0;0;60.0
948;6;1301.0;61.0;1851.0;49.0;3397.0;66.0;0;0;1;0;1;0;0;0;0;0;65.0
949;6;1301.0;65.0;1857.0;59.0;3381.0;81.0;0;0;1;0;0;0;0;0;1;0;65.0
950;6;1200.0;38.0;1678.0;37.0;3204.0;69.0;0;0;1;0;0;0;0;0;0;1;46.0
952;6;1350.0;107.0;1835.0;164.0;3427.0;92.0;0;0;1;0;0;0;1;0;0;0;108.0
953;6;1341.0;42.0;1833.0;40.0;3401.0;81.0;0;0;1;0;0;0;0;1;0;0;38.0
992;6;1170.0;60.0;2488.0;54.0;3032.0;48.0;0;0;1;1;0;0;0;0;0;0;66.0
993;7;1197.0;65.0;2498.0;61.0;3048.0;49.0;0;0;1;0;1;0;0;0;0;0;72.0
994;7;1212.0;65.0;2513.0;65.0;3069.0;59.0;0;0;1;0;0;0;0;0;1;0;66.0
995;7;1401.0;46.0;2601.0;38.0;3079.0;37.0;0;0;1;0;0;0;0;0;0;1;53.0
996;7;3076.0;68.0;4596.0;74.0;5704.0;108.0;0;0;1;0;0;1;0;0;0;0;65.0
997;7;1228.0;108.0;2578.0;107.0;3063.0;164.0;0;0;1;0;0;0;1;0;0;0;139.0
998;7;1249.0;38.0;2590.0;42.0;3082.0;40.0;0;0;1;0;0;0;0;1;0;0;48.0
1037;7;1681.0;66.0;2851.0;60.0;4169.0;54.0;0;0;1;1;0;0;0;0;0;0;84.0
1038;7;1633.0;72.0;2830.0;65.0;4131.0;61.0;0;0;1;0;1;0;0;0;0;0;44.0
1039;7;1608.0;66.0;2820.0;65.0;4121.0;65.0;0;0;1;0;0;0;0;0;1;0;55.0
1040;7;1590.0;53.0;2991.0;46.0;4191.0;38.0;0;0;1;0;0;0;0;0;0;1;39.0
1041;7;1629.0;65.0;4705.0;68.0;6225.0;74.0;0;0;1;0;0;1;0;0;0;0;88.0
1042;7;1628.0;139.0;2856.0;108.0;4206.0;107.0;0;0;1;0;0;0;1;0;0;0;132.0
1043;7;1610.0;48.0;2859.0;38.0;4200.0;42.0;0;0;1;0;0;0;0;1;0;0;42.0
1082;7;723.0;84.0;2404.0;66.0;3574.0;60.0;0;0;1;1;0;0;0;0;0;0;74.0
1083;7;751.0;44.0;2384.0;72.0;3581.0;65.0;0;0;1;0;1;0;0;0;0;0;72.0
1084;7;764.0;55.0;2372.0;66.0;3584.0;65.0;0;0;1;0;0;0;0;0;1;0;68.0
1085;7;788.0;39.0;2378.0;53.0;3779.0;46.0;0;0;1;0;0;0;0;0;0;1;87.0
1086;7;769.0;88.0;2398.0;65.0;5474.0;68.0;0;0;1;0;0;1;0;0;0;0;85.0
1087;7;792.0;132.0;2420.0;139.0;3648.0;108.0;0;0;1;0;0;0;1;0;0;0;173.0
